property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,164,414404.29,-38.52309,-38.52309,Bahia
apartment,Northeast,120,98296.19,-38.52309,-38.52309,Bahia
apartment,Northeast,89,160706.48,-38.436806,-38.436806,Bahia
apartment,Northeast,109,146664.17,-38.435516,-38.435516,Bahia
apartment,Northeast,71,106097.48,-38.477962,-38.477962,Bahia
apartment,Northeast,100,109217.99,-38.477962,-38.477962,Bahia
apartment,Northeast,100,146664.17,-38.477451,-38.477451,Bahia
apartment,Northeast,156,390064.28,-38.486099,-38.486099,Bahia
apartment,Northeast,140,234038.56,-38.479004,-38.479004,Bahia
house,Northeast,73,81133.37,-38.32711,-38.32711,Bahia
apartment,Northeast,71,81133.37,-38.32711,-38.32711,Bahia
apartment,Northeast,71,78012.85,-38.32711,-38.32711,Bahia
apartment,Northeast,143,296448.85,-38.403465,-38.403465,Bahia
apartment,Northeast,158,180989.82,-38.403465,-38.403465,Bahia
apartment,Northeast,75,77388.75,-38.46265,-38.46265,Bahia
apartment,Northeast,128,235843.06,-38.43898,-38.43898,Bahia
house,Northeast,156,193471.88,-38.32711,-38.32711,Bahia
house,Northeast,170,171628.28,-38.32711,-38.32711,Bahia
apartment,Northeast,136,109217.99,-38.32711,-38.32711,Bahia
apartment,Northeast,68,101416.71,-38.482758,-38.482758,Bahia
apartment,Northeast,71,121700.05,-38.49419,-38.49419,Bahia
apartment,Northeast,165,343256.56,-38.45739,-38.45739,Bahia
apartment,Northeast,71,170068.02,-38.5047,-38.5047,Bahia
apartment,Northeast,72,118579.54,-38.443928,-38.443928,Bahia
apartment,Northeast,83,132621.85,-38.381538,-38.381538,Bahia
apartment,Northeast,67,99856.45,-38.381538,-38.381538,Bahia
apartment,Northeast,70,102976.97,-38.440117,-38.440117,Bahia
apartment,Northeast,67,102976.97,-38.40873,-38.40873,Bahia
apartment,Northeast,156,321412.96,-38.486099,-38.486099,Bahia
apartment,Northeast,54,93615.42,-38.403465,-38.403465,Bahia
apartment,Northeast,195,390064.28,-38.40873,-38.40873,Bahia
apartment,Northeast,142,262123.19,-38.40873,-38.40873,Bahia
apartment,Northeast,137,196592.39,-38.403465,-38.403465,Bahia
apartment,Northeast,128,152905.19,-38.456074,-38.456074,Bahia
apartment,Northeast,111,174748.79,-38.456074,-38.456074,Bahia
house,Northeast,120,121700.05,-38.32711,-38.32711,Bahia
apartment,Northeast,71,81133.37,-38.32711,-38.32711,Bahia
